+-------+-----+------+-----+-----+-----+--------+-------------------------------------------------------------------------+-------+--------+---------+-------+-------+-------+--------+--------+-----------+------------+--------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                   |  MIN  |  MAX   |   SUM   |  AVG  |  P90  |  P95  |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
|     4 |   0 |    3 |   0 |   1 |   0 | GET    | /api/player/competition/49dee447-96dd-48da-8fc0-31eb9b2b4584/ranking    | 0.004 |  0.008 |   0.020 | 0.005 | 0.008 | 0.008 |  0.008 |  0.002 |    39.000 |   4514.000 |    13552.000 |   3388.000 |
|     4 |   0 |    3 |   0 |   1 |   0 | GET    | /api/player/competition/78dcd51a-1bdd-4dbc-9ec0-4d452d529559/ranking    | 0.000 |  0.008 |   0.024 | 0.006 | 0.008 | 0.008 |  0.008 |  0.003 |    39.000 |   8919.000 |    26736.000 |   6684.000 |
|     4 |   0 |    3 |   0 |   1 |   0 | GET    | /api/player/competition/3f2a762e-a96e-4bf6-a58c-f014e72c809b/ranking    | 0.004 |  0.008 |   0.028 | 0.007 | 0.008 | 0.008 |  0.008 |  0.002 |    39.000 |  11099.000 |    33261.000 |   8315.250 |
|     4 |   0 |    3 |   0 |   1 |   0 | GET    | /api/player/competition/a282abe6-f4e5-426f-815c-5556c092a29b/ranking    | 0.004 |  0.008 |   0.028 | 0.007 | 0.008 | 0.008 |  0.008 |  0.002 |    39.000 |   8940.000 |    26799.000 |   6699.750 |
|    42 |   0 |   42 |   0 |   0 |   0 | GET    | /api/player/competition/d8c82e84-a262-40b3-800c-0737e63cdea5/ranking    | 0.004 |  0.028 |   0.304 | 0.007 | 0.012 | 0.012 |  0.028 |  0.004 |  1287.000 |   1287.000 |    54054.000 |   1287.000 |
|    65 |   0 |   65 |   0 |   0 |   0 | GET    | /api/player/competition/ac73500c-9236-4f9d-ad32-3b7dc0db165a/ranking    | 0.004 |  0.032 |   0.484 | 0.007 | 0.012 | 0.016 |  0.032 |  0.006 |  1585.000 |   1585.000 |   103025.000 |   1585.000 |
|    17 |   0 |   17 |   0 |   0 |   0 | GET    | /api/player/competition/6f7bb0c3-80b4-4418-9663-54043dcb3fa0/ranking    | 0.004 |  0.016 |   0.128 | 0.008 | 0.008 | 0.016 |  0.016 |  0.003 |  9288.000 |   9288.000 |   157896.000 |   9288.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/e87ae657-0710-4387-94fc-11869d9607e3/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/557c947b-478e-4391-b92e-5af9e9285fea/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/93f08eed-0961-4b9b-8829-ab730a0288cf/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    0 |   0 |   1 |   0 | POST   | /api/organizer/competition/[0-9a-f]+/finish                             | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    39.000 |     39.000 |       39.000 |     39.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/83780159-d473-4c9a-8193-7f2e4f9b8f12/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/63c4150a-c31e-4f0a-91c2-6d9547a623cb/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/4d3b851b-ce96-4ff5-af03-3d8932b3cb25/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/cf6a71fd-18a1-4b0d-bd76-7fd9bfb01c39/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/4765b735-9d6e-48ce-9b64-e7dcfd23f2b2/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9252cb51-5286-47b5-807c-33de243dc2fc/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/4c698374-2323-4d17-b6bf-f20e6d43d159/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/ba4bd2e0-65df-498f-a5c3-78289ef2092c/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/ac73500c-9236-4f9d-ad32-3b7dc0db165a/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/ea371a44-a81b-48c2-802a-b548dbcb206e/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     4 |   0 |    3 |   0 |   1 |   0 | GET    | /api/player/competition/4d2f0f4a-1fa6-4144-a48c-723c34866d58/ranking    | 0.004 |  0.012 |   0.032 | 0.008 | 0.012 | 0.012 |  0.012 |  0.003 |    39.000 |  14538.000 |    43554.000 |  10888.500 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/d4fda555-d99c-4e09-a7fa-3f6cbdc53c42/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/5b85f18c-7599-4848-a978-ef724133af02/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/59fdd674-291c-4200-84d8-f04e494edd6d/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/806966b1-c020-4799-a065-7f5b7cbf4b3b/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /api/player/competition/806966b1-c020-4799-a065-7f5b7cbf4b3b/ranking    | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 | 14215.000 |  14215.000 |    14215.000 |  14215.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/d8c82e84-a262-40b3-800c-0737e63cdea5/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/93770d3f-74ae-4303-b5ab-c6f2c2b283f0/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/726bc037-edb3-41cd-aadd-d5c1548734ea/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/bbb32e16-23e2-43b0-b994-f1cb3722b9cd/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/78dcd51a-1bdd-4dbc-9ec0-4d452d529559/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/489ba244-0aaa-4959-b6df-04846c959af4/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/fd4db654-1a12-48f8-bd12-77fffce369ba/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/6633d8ca-1c2f-439b-86cf-fa8699969fbd/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/08d11d29-39f2-4540-97eb-a7beb3731293/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/6f7bb0c3-80b4-4418-9663-54043dcb3fa0/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/cd6b886f-dbca-45fe-a21f-f044d0e60ff4/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/3f2a762e-a96e-4bf6-a58c-f014e72c809b/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/dd292ee8-ca74-4e62-8d03-7ef0197e39db/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/ec883527-7fa3-41e0-9c7c-f3a3392aca4b/finish  | 0.008 |  0.008 |   0.008 | 0.008 | 0.008 | 0.008 |  0.008 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|    70 |   0 |   70 |   0 |   0 |   0 | GET    | /api/player/competition/36a7e73e-8b8b-483e-b792-749cad74cd09/ranking    | 0.004 |  0.028 |   0.588 | 0.008 | 0.016 | 0.020 |  0.028 |  0.005 |  1908.000 |   1908.000 |   133560.000 |   1908.000 |
|    13 |   0 |   13 |   0 |   0 |   0 | GET    | /api/player/competition/5b85f18c-7599-4848-a978-ef724133af02/ranking    | 0.008 |  0.012 |   0.128 | 0.010 | 0.012 | 0.012 |  0.012 |  0.002 | 13454.000 |  13454.000 |   174902.000 |  13454.000 |
|     4 |   0 |    3 |   0 |   1 |   0 | GET    | /api/player/competition/9252cb51-5286-47b5-807c-33de243dc2fc/ranking    | 0.004 |  0.016 |   0.040 | 0.010 | 0.016 | 0.016 |  0.016 |  0.004 |    39.000 |  14585.000 |    43695.000 |  10923.750 |
|     4 |   0 |    3 |   0 |   1 |   0 | GET    | /api/player/competition/0cebd123-f3e8-44bc-b18b-47a260eb05ef/ranking    | 0.004 |  0.016 |   0.044 | 0.011 | 0.016 | 0.016 |  0.016 |  0.005 |    39.000 |  14601.000 |    43743.000 |  10935.750 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/c9a3dd89-57c9-4183-91dd-0353baaf4d09/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/a075c176-1aa6-449b-97a7-b955377e6a1e/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/f1d5d537-6304-4918-8d46-06336cff38da/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/4d2f0f4a-1fa6-4144-a48c-723c34866d58/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/49b3b993-e682-4abd-9df3-5b6f7a165f22/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/4134cdd5-5bc2-4ca8-b47f-d801dbf9117d/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/f74b20dd-d617-4ef6-8f62-0a4bf80e4001/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/4a1740f6-be75-47df-9b98-ca4ad34b68ce/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/49dee447-96dd-48da-8fc0-31eb9b2b4584/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/caed7c50-c53b-4486-8d8b-0dc2a8499f9e/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/9679060d-09fa-4911-a97d-0218d2583913/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/0bdfce9a-74c0-46b9-b5d0-4b8f90e7ba1b/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/5c11aae5-bb38-4360-b7a6-5031ae4cec6e/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/a1247d10-5e2a-43d8-862e-d10510773653/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/b529a699-9a3a-40b3-b272-804f8b60709b/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/0e40507a-f1fe-4373-ac66-414f6f8edf87/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/0fd8eaa7-8385-4349-ae74-f91c386e309b/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/player/ca286515-d1a3-4195-9cd4-bfdc40e3c2f3/disqualified | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |   185.000 |    185.000 |      185.000 |    185.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/270df873-3bbc-47a6-9617-a6e14c42aeeb/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     4 |   0 |    3 |   0 |   1 |   0 | GET    | /api/player/competition/d0980951-2d80-425a-84d7-77126c57e4fe/ranking    | 0.008 |  0.020 |   0.048 | 0.012 | 0.020 | 0.020 |  0.020 |  0.005 |    39.000 |  14558.000 |    43614.000 |  10903.500 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/388d396e-b5b5-4ca5-9e8b-78ba3aaadee6/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/cb2641af-7954-4f0a-adb5-f78cbe5e539a/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/a282abe6-f4e5-426f-815c-5556c092a29b/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/cc4b619c-681f-452f-abbe-7864d3be1f1e/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/0cebd123-f3e8-44bc-b18b-47a260eb05ef/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/7652e10e-b767-4b98-a3bb-f223588378f0/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/dfc58618-129a-47cc-82bb-a9819b22bea3/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/4d3b851b-ce96-4ff5-af03-3d8932b3cb25/score   | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    52.000 |     52.000 |       52.000 |     52.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/3293aa1e-5d25-4626-96d8-20b4e62e07e6/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/4db260f7-2c07-406a-a332-0ea0043df4c2/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/c68ef3e8-0963-4a33-8dbd-1d038a20a773/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/36a7e73e-8b8b-483e-b792-749cad74cd09/finish  | 0.012 |  0.012 |   0.012 | 0.012 | 0.012 | 0.012 |  0.012 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     4 |   0 |    4 |   0 |   0 |   0 | GET    | /api/player/competition/5127b401-e54f-4ef3-a86d-ca2afc3ee81c/ranking    | 0.008 |  0.020 |   0.052 | 0.013 | 0.020 | 0.020 |  0.020 |  0.004 |   384.000 |  17296.000 |    52075.000 |  13018.750 |
|     4 |   0 |    3 |   0 |   1 |   0 | GET    | /api/player/competition/5706664d-cb89-4f99-af0f-c756431b98e4/ranking    | 0.000 |  0.028 |   0.060 | 0.015 | 0.028 | 0.028 |  0.028 |  0.010 |    39.000 |  14479.000 |    43377.000 |  10844.250 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/cb97d6cf-bcd7-4c0c-aabd-b5a5df4b6b33/finish  | 0.016 |  0.016 |   0.016 | 0.016 | 0.016 | 0.016 |  0.016 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/player/a662c18f-9714-4411-b7d3-2772a749cd32/disqualified | 0.016 |  0.016 |   0.016 | 0.016 | 0.016 | 0.016 |  0.016 |  0.000 |   185.000 |    185.000 |      185.000 |    185.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/3aa3365a-185d-4baf-90c4-6d3bcdbb67c4/finish  | 0.016 |  0.016 |   0.016 | 0.016 | 0.016 | 0.016 |  0.016 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/2f784558-88d4-4e59-8e9f-c6a3adf07092/finish  | 0.016 |  0.016 |   0.016 | 0.016 | 0.016 | 0.016 |  0.016 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/a6002750-7fff-4978-9e75-932bb5c58c3d/finish  | 0.016 |  0.016 |   0.016 | 0.016 | 0.016 | 0.016 |  0.016 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/259854f2-5546-42d0-8118-55af0fed0ce8/finish  | 0.016 |  0.016 |   0.016 | 0.016 | 0.016 | 0.016 |  0.016 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/97d2023a-b149-44c2-999e-ad2e73c00c05/finish  | 0.016 |  0.016 |   0.016 | 0.016 | 0.016 | 0.016 |  0.016 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
